0,0,0,0
0.2474,1.4409,0.7526,-1.216
0.4654,1.7753,1.0346,-1.4591
0.9185,2.338,1.5815,-1.8554
2.099,3.423,2.901,-2.5793
4.5367,4.9877,5.4633,-3.5453
7.0132,6.1788,7.9868,-4.2335
9.5085,7.1519,10.4915,-4.7678
14.5291,8.6762,15.4709,-5.5534
19.5728,9.8003,20.4272,-6.0799
24.6297,10.6164,25.3703,-6.4108
29.6952,11.164,30.3048,-6.5697
34.7662,11.4444,35.2338,-6.5488
39.8392,11.4778,40.1608,-6.3623
44.9115,11.2766,45.0885,-6.0198
49.98,10.8717,50.02,-5.5515
55.0429,10.2894,54.9571,-4.9848
60.0983,9.5506,59.9017,-4.3442
65.1451,8.6738,64.8549,-3.655
70.183,7.6788,69.817,-2.9483
75.2137,6.5901,74.7863,-2.2695
80.2556,5.412,79.7444,-1.6733
85.2493,4.1029,84.7507,-1.2173
90.1743,2.7579,89.8257,-0.7962
95.0899,1.4067,94.9101,-0.4258
100,0,100,0
